Child,Estimated_age,Sex,Mother_resident,Father_resident,n1hfollows,TimeAcquiringFood,TimeProcessingFood
208,3.5,f,no,no,11,54.55,5.45
209,4,f,yes,yes,13,0,0.92
7,4,f,yes,no,14,11.14,0
306,5,m,yes,no,9,33.33,2.67
109,6.5,m,yes,no,13,3.69,3.69
307,6.5,m,yes,no,13,44.31,3.69
308,8.2,m,yes,no,10,0,3.6
214,8.2,f,no,no,16,89.25,37.5
221,8.2,f,yes,no,11,0,13.09
219,11,f,yes,no,10,0,8.4
216,11.5,f,yes,no,10,1.2,2.4
18,11.5,f,no,no,14,1.71,34.29
311,12,m,no,yes,10,0,0
19,13.6,f,no,yes,10,0,0
122,14,m,no,yes,5,0,24
317,14,m,no,no,8,0,10.67
119,14,m,yes,yes,8,0,36
316,14,m,no,no,6,0,6
125,15,m,yes,no,9,0,0
318,17,m,no,no,7,0,42.86
Mean,,,,,10.35,11.35,11.76
